,attentive,while_doing_other,while_taking_notes,with_other_people,What's your preferred way of listening to On Being?
X2493,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2494,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2495,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2496,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2497,NA,NA,NA,NA,NA
X2498,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2499,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2500,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2501,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2502,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2503,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2504,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2505,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2506,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X2507,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2508,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2509,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2510,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2511,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2512,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2513,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2514,NA,NA,NA,NA,I love reading the transcripts :)
X2515,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2516,NA,NA,NA,NA,NA
X2517,NA,NA,NA,NA,While walking outside
X2518,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2519,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2520,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2521,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2522,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2523,NA,NA,NA,NA,I read the transcript
X2524,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2525,NA,NA,NA,NA,NA
X2526,NA,NA,NA,NA,NA
X2527,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2528,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2529,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2530,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2531,NA,NA,NA,NA,I listen in my car travelling
X2532,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2533,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X2534,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2535,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2536,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2537,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2538,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2539,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2540,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2541,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2542,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2543,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2544,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2545,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X2546,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2547,NA,NA,NA,NA,I sometimes listen again and take notes.
X2548,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2549,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2550,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2551,NA,NA,NA,NA,driving
X2552,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2553,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2554,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2555,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2556,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2557,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2558,NA,NA,NA,NA,NA
X2559,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2560,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2561,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2562,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2563,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2564,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2565,NA,NA,NA,NA,I listen while walking
X2566,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2567,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2568,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2569,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2570,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2571,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2572,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2573,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2574,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2575,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2576,NA,NA,NA,NA,While driving
X2577,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2578,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2579,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2580,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2581,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2582,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2583,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2584,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2585,NA,NA,NA,NA,NA
X2586,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2587,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2588,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2589,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2590,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2591,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2592,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2593,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2594,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2595,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2596,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2597,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2598,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2599,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2600,NA,NA,NA,NA,NA
X2601,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2602,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2603,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2604,NA,NA,NA,NA,NA
X2605,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2606,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2607,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2608,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2609,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2610,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2611,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2612,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2613,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2614,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2615,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2616,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2617,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2618,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2619,NA,NA,NA,NA,I listen while walking with my headphones on
X2620,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2621,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X2622,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2623,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X2624,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
